subject,description,category,priority
Equipment replacement request,I would like to request new computer equipment. I need assistance as soon as possible.,Other,MEDIUM
Possible virus,I received an alert about an unknown login to my account. Please investigate this problem.,Security,HIGH
Program will not open,The application crashes every time I try to open it. This is affecting my work.,Software,MEDIUM
Email attachment problem,Outlook does not open when I click on it. Please help me resolve this issue.,Email,MEDIUM
Hard drive issue,My headset is not detected by my computer.,Hardware,MEDIUM
Keyboard not working,My laptop does not turn on when I press the power button.,Hardware,LOW
Laptop battery problem,My mouse is connected but is not responding. Please investigate this problem.,Hardware,LOW
Hard drive issue,The monitor is connected but nothing is displayed. The issue started recently.,Hardware,MEDIUM
Wi-Fi keeps disconnecting,The network connection keeps dropping frequently. This is affecting my work.,Network,HIGH
Shared folder access denied,I cannot access the shared folder used by my team. Please help me resolve this issue.,Access,HIGH
Security incident,I received an email containing a suspicious link. I need assistance as soon as possible.,Security,CRITICAL
Network timeout,My laptop is unable to connect to the office Wi-Fi. The issue started recently.,Network,HIGH
Access denied error,I would like to request access to a company resource. Please investigate this problem.,Access,LOW
Suspicious attachment,I received an alert about an unknown login to my account. The issue started recently.,Security,HIGH
New employee IT setup,Please provide technical support for my workstation. The issue started recently.,Other,MEDIUM
Keyboard not working,The monitor is connected but nothing is displayed. I need assistance as soon as possible.,Hardware,LOW
Laptop not turning on,Several keys on my keyboard have stopped working. This is affecting my work.,Hardware,HIGH
New employee IT setup,I need to request replacement IT equipment. Please investigate this problem.,Other,MEDIUM
Cannot receive email,I am unable to send an email attachment. I need assistance as soon as possible.,Email,LOW
Username issue,I forgot my company account password and need it reset. This is affecting my work.,Account,LOW
Printer not working,My mouse is connected but is not responding. The issue started recently.,Hardware,MEDIUM
Slow internet,My laptop is unable to connect to the office Wi-Fi. This is affecting my work.,Network,MEDIUM
Slow internet,I do not have access to the internet.,Network,HIGH
Application keeps crashing,I am unable to install the required software on my computer. Please help me resolve this issue.,Software,MEDIUM
IT assistance required,I need help with a technical problem.,Other,MEDIUM
IT assistance required,Please provide technical support for my workstation. Please investigate this problem.,Other,HIGH
Access denied error,I would like to request access to a company resource.,Access,MEDIUM
Keyboard not working,My computer has become extremely slow recently. This is affecting my work.,Hardware,MEDIUM
Miscellaneous IT issue,I need to request replacement IT equipment. This is affecting my work.,Other,MEDIUM
Program will not open,The latest software update failed to install. I need assistance as soon as possible.,Software,MEDIUM
Printer not working,My laptop battery is draining very quickly. The issue started recently.,Hardware,MEDIUM
General support request,I need some information regarding an IT service. I need assistance as soon as possible.,Other,HIGH
Password expired,The system is unable to authenticate my account. I need assistance as soon as possible.,Account,HIGH
Username issue,I forgot my company account password and need it reset. I need assistance as soon as possible.,Account,LOW
Shared folder access denied,Access to the server is being denied. The issue started recently.,Access,LOW
IT assistance required,I would like to request new computer equipment.,Other,MEDIUM
Shared folder access denied,The application says that I do not have permission to access it. The issue started recently.,Access,MEDIUM
Laptop overheating,I am having problems with the hard drive on my computer.,Hardware,HIGH
Access denied error,I am unable to access the company database. Please help me resolve this issue.,Access,HIGH
Need access to company system,I would like to request access to a company resource.,Access,MEDIUM
Unable to access server,My laptop is unable to connect to the office Wi-Fi.,Network,LOW
Possible phishing attack,There may have been unauthorized access to my account. The issue started recently.,Security,HIGH
Suspicious attachment,My computer is showing a possible malware warning. This is affecting my work.,Security,HIGH
Software installation failed,The application freezes whenever I try to use it. The issue started recently.,Software,MEDIUM
Access to shared drive required,I need access to an internal company system. Please investigate this problem.,Access,LOW
New employee IT setup,I have an IT issue that does not fit into another category. This is affecting my work.,Other,MEDIUM
New employee IT setup,I have a general IT support request.,Other,MEDIUM
Application permission required,I need permission to use the required company application.,Access,HIGH
File permission issue,I cannot access the shared folder used by my team. This is affecting my work.,Access,MEDIUM
Windows error,Excel stops responding when I open a large spreadsheet. Please investigate this problem.,Software,LOW
Network connection dropping,I do not have access to the internet.,Network,LOW
Slow internet,My computer cannot connect to the company network. I need assistance as soon as possible.,Network,MEDIUM
Application permission required,I am unable to access the company database. I need assistance as soon as possible.,Access,HIGH
Hard drive issue,My computer has become extremely slow recently.,Hardware,MEDIUM
Mailbox full,My emails are being delivered very slowly. The issue started recently.,Email,MEDIUM
New equipment request,I have an IT issue that does not fit into another category.,Other,HIGH
Internet connection unavailable,Network requests are timing out repeatedly. This is affecting my work.,Network,LOW
Employee account problem,I need assistance resetting my account password. I need assistance as soon as possible.,Account,LOW
Username issue,My password has expired and I cannot access my account. This is affecting my work.,Account,MEDIUM
File permission issue,Access to the server is being denied. Please investigate this problem.,Access,HIGH
Browser not working,My web browser is not working correctly. This is affecting my work.,Software,HIGH
Access to shared drive required,I need permission to use the required company application.,Access,HIGH
Security incident,I received a security alert that I do not recognize. The issue started recently.,Security,HIGH
Software update failed,The latest software update failed to install. Please help me resolve this issue.,Software,LOW
Computer setup request,I have a general IT support request. This is affecting my work.,Other,HIGH
Miscellaneous IT issue,I need help with a technical problem. Please investigate this problem.,Other,HIGH
Cannot receive email,Outlook crashes whenever I try to launch it.,Email,HIGH
Outlook not opening,My mailbox is full and I cannot receive new messages. This is affecting my work.,Email,LOW
Permission request,I would like to request access to a company resource. The issue started recently.,Access,LOW
Possible phishing attack,I think I may have received a phishing message. The issue started recently.,Security,CRITICAL
Unauthorized access,There may have been unauthorized access to my account. Please help me resolve this issue.,Security,HIGH
Cannot access mailbox,My mailbox is full and I cannot receive new messages. The issue started recently.,Email,HIGH
Miscellaneous IT issue,A new employee needs their computer and IT services configured. Please investigate this problem.,Other,LOW
Suspicious email received,My computer is showing a possible malware warning. The issue started recently.,Security,MEDIUM
General support request,I need general assistance with an IT-related issue. Please help me resolve this issue.,Other,MEDIUM
Program will not open,Windows is showing an unexpected error message. Please help me resolve this issue.,Software,HIGH
Unknown login detected,There may have been unauthorized access to my account. Please investigate this problem.,Security,MEDIUM
Printer not working,I am having problems with the hard drive on my computer. I need assistance as soon as possible.,Hardware,MEDIUM
Username issue,I need help recovering my company account. Please investigate this problem.,Account,LOW
Unable to access application,The application says that I do not have permission to access it. I need assistance as soon as possible.,Access,HIGH
Computer running slowly,My headset is not detected by my computer. Please investigate this problem.,Hardware,HIGH
General IT request,A new employee needs their computer and IT services configured. I need assistance as soon as possible.,Other,MEDIUM
Forgot password,My password has expired and I cannot access my account. Please help me resolve this issue.,Account,MEDIUM
Laptop overheating,My mouse is connected but is not responding. Please investigate this problem.,Hardware,LOW
Wi-Fi not working,I cannot connect to the company VPN from home. Please investigate this problem.,Network,HIGH
Security alert,I think my computer may have a virus. Please help me resolve this issue.,Security,MEDIUM
Employee account problem,I am having an issue with my username. Please investigate this problem.,Account,MEDIUM
Printer not working,The monitor is connected but nothing is displayed. Please investigate this problem.,Hardware,LOW
Network timeout,I cannot connect to the company server. Please investigate this problem.,Network,MEDIUM
Laptop not turning on,My headset is not detected by my computer. Please investigate this problem.,Hardware,MEDIUM
VPN connection failed,I am having a DNS resolution problem. This is affecting my work.,Network,LOW
Hard drive issue,My laptop battery is draining very quickly. This is affecting my work.,Hardware,MEDIUM
Password reset required,The system is unable to authenticate my account. Please investigate this problem.,Account,MEDIUM
IT assistance required,I need to request replacement IT equipment. Please investigate this problem.,Other,MEDIUM
Browser not working,Excel stops responding when I open a large spreadsheet. The issue started recently.,Software,MEDIUM
Possible virus,I think I may have received a phishing message. Please investigate this problem.,Security,MEDIUM
Account locked,I need help recovering my company account.,Account,MEDIUM
Network connection dropping,The internet connection is extremely slow. The issue started recently.,Network,HIGH
VPN connection failed,I do not have access to the internet. Please investigate this problem.,Network,LOW
Computer setup request,I need to request replacement IT equipment. Please investigate this problem.,Other,HIGH
Unknown login detected,I would like to report a potential security incident. This is affecting my work.,Security,CRITICAL
Email attachment problem,My emails are not synchronizing correctly. I need assistance as soon as possible.,Email,MEDIUM
Laptop overheating,My computer has become extremely slow recently.,Hardware,MEDIUM
Mailbox full,Outlook does not open when I click on it. The issue started recently.,Email,LOW
Shared folder access denied,I cannot access the shared folder used by my team. Please investigate this problem.,Access,HIGH
Unable to authenticate,My password has expired and I cannot access my account. Please help me resolve this issue.,Account,LOW
Server access denied,I cannot access the shared folder used by my team. I need assistance as soon as possible.,Access,MEDIUM
Access to shared drive required,I cannot access the shared folder used by my team. I need assistance as soon as possible.,Access,LOW
VPN connection failed,Network requests are timing out repeatedly. Please help me resolve this issue.,Network,MEDIUM
Unable to access server,The network connection keeps dropping frequently. This is affecting my work.,Network,HIGH
Program will not open,The software does not appear to be compatible with my system. I need assistance as soon as possible.,Software,MEDIUM
Cannot connect to office network,The Wi-Fi disconnects every few minutes. The issue started recently.,Network,HIGH
Emails delayed,I cannot access my company mailbox. This is affecting my work.,Email,HIGH
Cannot send email,I cannot send emails from my company account. The issue started recently.,Email,LOW
Application showing error,The application crashes every time I try to open it. Please help me resolve this issue.,Software,MEDIUM
Email attachment problem,Outlook crashes whenever I try to launch it. Please investigate this problem.,Email,HIGH
Cannot receive email,I cannot send emails from my company account. I need assistance as soon as possible.,Email,MEDIUM
Security alert,My computer is showing a possible malware warning.,Security,CRITICAL
Browser not working,The application freezes whenever I try to use it. This is affecting my work.,Software,MEDIUM
Login credentials not working,There appears to be a problem with my employee account. This is affecting my work.,Account,HIGH
Username issue,The system is unable to authenticate my account.,Account,MEDIUM
Computer setup request,I have an IT issue that does not fit into another category. Please investigate this problem.,Other,HIGH
Windows error,The application displays an error whenever I perform an operation. Please investigate this problem.,Software,MEDIUM
Security alert,I think my computer may have a virus. Please investigate this problem.,Security,MEDIUM
Laptop battery problem,My headset is not detected by my computer. Please investigate this problem.,Hardware,LOW
Possible phishing attack,There may have been unauthorized access to my account. This is affecting my work.,Security,HIGH
Email attachment problem,Outlook does not open when I click on it. The issue started recently.,Email,HIGH
Technical help needed,Please provide technical support for my workstation. Please investigate this problem.,Other,MEDIUM
Employee account problem,I need help recovering my company account. Please investigate this problem.,Account,MEDIUM
Excel not responding,My web browser is not working correctly. This is affecting my work.,Software,MEDIUM
Email notifications not working,My emails are being delivered very slowly. Please investigate this problem.,Email,HIGH
Software compatibility issue,The application freezes whenever I try to use it. Please investigate this problem.,Software,HIGH
Outlook not opening,My emails are not synchronizing correctly. This is affecting my work.,Email,HIGH
Wi-Fi not working,I am having a DNS resolution problem. The issue started recently.,Network,LOW
Unauthorized access,My computer is showing a possible malware warning. Please help me resolve this issue.,Security,HIGH
Laptop not turning on,Several keys on my keyboard have stopped working. Please help me resolve this issue.,Hardware,MEDIUM
Computer running slowly,My mouse is connected but is not responding. I need assistance as soon as possible.,Hardware,MEDIUM
Browser not working,The application freezes whenever I try to use it. Please help me resolve this issue.,Software,MEDIUM
Need access to company system,I cannot access the shared folder used by my team. Please help me resolve this issue.,Access,LOW
Forgot password,I need help recovering my company account.,Account,MEDIUM
Network connection dropping,The Wi-Fi disconnects every few minutes. The issue started recently.,Network,HIGH
Security alert,I received a security alert that I do not recognize. Please investigate this problem.,Security,MEDIUM
Account locked,My password has expired and I cannot access my account. The issue started recently.,Account,MEDIUM
Windows error,The latest software update failed to install. The issue started recently.,Software,HIGH
Unable to authenticate,The system is unable to authenticate my account. Please investigate this problem.,Account,HIGH
Server access denied,I need permission to use the required company application. I need assistance as soon as possible.,Access,HIGH
Emails delayed,I am unable to send an email attachment.,Email,MEDIUM
Cannot send email,Outlook does not open when I click on it. I need assistance as soon as possible.,Email,MEDIUM
Application permission required,I cannot access the shared folder used by my team. I need assistance as soon as possible.,Access,HIGH
Possible phishing attack,I received a security alert that I do not recognize. The issue started recently.,Security,CRITICAL
Cannot connect to office network,The network connection keeps dropping frequently. Please investigate this problem.,Network,HIGH
Password reset required,My account has been locked after several unsuccessful login attempts.,Account,HIGH
Unable to access server,I am having a DNS resolution problem. I need assistance as soon as possible.,Network,HIGH
Wi-Fi keeps disconnecting,I am having a DNS resolution problem. Please investigate this problem.,Network,HIGH
Account locked,There appears to be a problem with my employee account.,Account,HIGH
General IT request,A new employee needs their computer and IT services configured. Please help me resolve this issue.,Other,MEDIUM
IT assistance required,I need some information regarding an IT service. I need assistance as soon as possible.,Other,MEDIUM
Email synchronization issue,I am not receiving notifications for new emails. I need assistance as soon as possible.,Email,MEDIUM
Account recovery request,I need assistance resetting my account password.,Account,HIGH
Employee account problem,I cannot log into my company account.,Account,HIGH
Slow internet,I cannot connect to the company server. I need assistance as soon as possible.,Network,MEDIUM
Unauthorized access,My computer is showing a possible malware warning. The issue started recently.,Security,CRITICAL
Miscellaneous IT issue,I have an IT issue that does not fit into another category. This is affecting my work.,Other,HIGH
Unknown login detected,I received an alert about an unknown login to my account. This is affecting my work.,Security,HIGH
Unable to access application,The application says that I do not have permission to access it. The issue started recently.,Access,LOW
Email notifications not working,New emails are not appearing in my inbox.,Email,LOW
Network timeout,The internet connection is extremely slow. Please investigate this problem.,Network,LOW
Email attachment problem,I cannot send emails from my company account. The issue started recently.,Email,HIGH
Computer setup request,Please provide technical support for my workstation. The issue started recently.,Other,LOW
Emails delayed,I am not receiving notifications for new emails. This is affecting my work.,Email,HIGH
Equipment replacement request,I have a general IT support request. I need assistance as soon as possible.,Other,MEDIUM
Login credentials not working,I need assistance resetting my account password.,Account,HIGH
New employee IT setup,I need help with a technical problem. This is affecting my work.,Other,HIGH
Wi-Fi not working,The Wi-Fi disconnects every few minutes. This is affecting my work.,Network,LOW
Login credentials not working,My password has expired and I cannot access my account. The issue started recently.,Account,LOW
Possible virus,I received a suspicious email that appears to be a phishing attempt. Please investigate this problem.,Security,MEDIUM
Technical help needed,I need some information regarding an IT service. The issue started recently.,Other,MEDIUM
Password expired,The system is unable to authenticate my account. I need assistance as soon as possible.,Account,LOW
Wi-Fi not working,Network requests are timing out repeatedly. This is affecting my work.,Network,MEDIUM
Possible phishing attack,An unknown sender sent me a suspicious attachment. Please help me resolve this issue.,Security,HIGH
Printer not working,My laptop battery is draining very quickly. Please investigate this problem.,Hardware,MEDIUM
Program will not open,My web browser is not working correctly. The issue started recently.,Software,MEDIUM
Application keeps crashing,The application freezes whenever I try to use it. This is affecting my work.,Software,HIGH
New equipment request,I need some information regarding an IT service. The issue started recently.,Other,MEDIUM
Login credentials not working,The system is unable to authenticate my account. This is affecting my work.,Account,HIGH
Malware warning,There may have been unauthorized access to my account. This is affecting my work.,Security,HIGH
General support request,I would like to request new computer equipment. This is affecting my work.,Other,MEDIUM
Cannot access mailbox,My emails are not synchronizing correctly. The issue started recently.,Email,HIGH
Email attachment problem,My emails are not synchronizing correctly. This is affecting my work.,Email,MEDIUM
Laptop battery problem,The monitor is connected but nothing is displayed. I need assistance as soon as possible.,Hardware,MEDIUM
Laptop battery problem,Several keys on my keyboard have stopped working.,Hardware,HIGH
Shared folder access denied,Access to the server is being denied. I need assistance as soon as possible.,Access,HIGH
Network timeout,Network requests are timing out repeatedly. Please help me resolve this issue.,Network,MEDIUM
Mailbox full,My emails are being delivered very slowly. Please help me resolve this issue.,Email,HIGH
Computer setup request,A new employee needs their computer and IT services configured.,Other,HIGH
Internet connection unavailable,Network requests are timing out repeatedly. The issue started recently.,Network,HIGH
Miscellaneous IT issue,Please provide technical support for my workstation. This is affecting my work.,Other,MEDIUM
General support request,A new employee needs their computer and IT services configured. This is affecting my work.,Other,MEDIUM
Email synchronization issue,My mailbox is full and I cannot receive new messages.,Email,LOW
General support request,I need assistance setting up a new computer. I need assistance as soon as possible.,Other,HIGH
Email synchronization issue,My mailbox is full and I cannot receive new messages. I need assistance as soon as possible.,Email,LOW
Password expired,I forgot my company account password and need it reset.,Account,MEDIUM
Shared folder access denied,Access to the server is being denied.,Access,HIGH
Unknown login detected,I received an email containing a suspicious link.,Security,MEDIUM
Outlook keeps crashing,Outlook crashes whenever I try to launch it. This is affecting my work.,Email,HIGH
Laptop overheating,Several keys on my keyboard have stopped working. I need assistance as soon as possible.,Hardware,LOW
Wi-Fi not working,Network requests are timing out repeatedly. The issue started recently.,Network,HIGH
Mouse not responding,My computer has become extremely slow recently. I need assistance as soon as possible.,Hardware,LOW
Outlook keeps crashing,I am not receiving notifications for new emails. This is affecting my work.,Email,HIGH
Network connection dropping,The Wi-Fi disconnects every few minutes. Please help me resolve this issue.,Network,HIGH
File permission issue,I receive an access denied error when opening the resource.,Access,MEDIUM
Login credentials not working,I cannot log into my company account. Please investigate this problem.,Account,MEDIUM
Mouse not responding,My computer has become extremely slow recently. I need assistance as soon as possible.,Hardware,LOW
Application keeps crashing,The application freezes whenever I try to use it. Please help me resolve this issue.,Software,MEDIUM
Slow internet,The internet connection is extremely slow. The issue started recently.,Network,MEDIUM
Program will not open,Excel stops responding when I open a large spreadsheet. Please help me resolve this issue.,Software,HIGH
New employee IT setup,I need some information regarding an IT service. This is affecting my work.,Other,LOW
Software update failed,Excel stops responding when I open a large spreadsheet. I need assistance as soon as possible.,Software,MEDIUM
DNS problem,The Wi-Fi disconnects every few minutes. Please help me resolve this issue.,Network,HIGH
Outlook keeps crashing,My emails are being delivered very slowly. Please investigate this problem.,Email,MEDIUM
Emails delayed,I am not receiving notifications for new emails. Please help me resolve this issue.,Email,MEDIUM
Forgot password,My account has been locked after several unsuccessful login attempts. I need assistance as soon as possible.,Account,MEDIUM
Emails delayed,My emails are being delivered very slowly. Please help me resolve this issue.,Email,MEDIUM
Application keeps crashing,The latest software update failed to install. The issue started recently.,Software,HIGH
Hard drive issue,My laptop battery is draining very quickly. I need assistance as soon as possible.,Hardware,LOW
Computer setup request,I would like to request new computer equipment. This is affecting my work.,Other,HIGH
Server access denied,I need access to the team's shared drive.,Access,HIGH
Excel not responding,Excel stops responding when I open a large spreadsheet. Please investigate this problem.,Software,MEDIUM
Application keeps crashing,The application displays an error whenever I perform an operation.,Software,MEDIUM
Account locked,The system is unable to authenticate my account. This is affecting my work.,Account,MEDIUM
Computer running slowly,I am having problems with the hard drive on my computer. The issue started recently.,Hardware,LOW
Possible virus,I received a security alert that I do not recognize.,Security,HIGH
Program will not open,The program refuses to open on my laptop. Please investigate this problem.,Software,MEDIUM
Security alert,I received a suspicious email that appears to be a phishing attempt.,Security,CRITICAL
Application permission required,I cannot access the shared folder used by my team. I need assistance as soon as possible.,Access,LOW
Cannot connect to office network,Network requests are timing out repeatedly. I need assistance as soon as possible.,Network,LOW
Monitor not displaying,My laptop battery is draining very quickly. Please help me resolve this issue.,Hardware,HIGH
Slow internet,My laptop is unable to connect to the office Wi-Fi. The issue started recently.,Network,HIGH
Security incident,An unknown sender sent me a suspicious attachment. The issue started recently.,Security,HIGH
Application permission required,I receive an access denied error when opening the resource.,Access,LOW
Laptop battery problem,I am having problems with the hard drive on my computer. Please help me resolve this issue.,Hardware,MEDIUM
Server access denied,Access to the server is being denied. Please investigate this problem.,Access,HIGH
Phishing link received,I received a suspicious email that appears to be a phishing attempt.,Security,CRITICAL
Account locked,My password has expired and I cannot access my account. The issue started recently.,Account,LOW
Access denied error,I am unable to access the company database. This is affecting my work.,Access,HIGH
Browser not working,The application crashes every time I try to open it. Please help me resolve this issue.,Software,MEDIUM
Network connection dropping,I cannot connect to the company VPN from home. Please help me resolve this issue.,Network,MEDIUM
Emails delayed,Outlook crashes whenever I try to launch it.,Email,MEDIUM
Laptop battery problem,The monitor is connected but nothing is displayed. Please help me resolve this issue.,Hardware,MEDIUM
Employee account problem,My login credentials are not being accepted. I need assistance as soon as possible.,Account,LOW
Printer not working,Several keys on my keyboard have stopped working. The issue started recently.,Hardware,LOW
Unable to access server,My computer cannot connect to the company network. Please help me resolve this issue.,Network,HIGH
Software installation failed,Excel stops responding when I open a large spreadsheet. The issue started recently.,Software,LOW
Cannot access mailbox,I am unable to send an email attachment. This is affecting my work.,Email,HIGH
Email synchronization issue,I cannot send emails from my company account. Please help me resolve this issue.,Email,HIGH
General IT request,Please provide technical support for my workstation. This is affecting my work.,Other,LOW
Possible phishing attack,I would like to report a potential security incident. The issue started recently.,Security,HIGH
Malware warning,I received an alert about an unknown login to my account.,Security,MEDIUM
Malware warning,There may have been unauthorized access to my account.,Security,CRITICAL
Email notifications not working,Outlook crashes whenever I try to launch it. Please help me resolve this issue.,Email,LOW
Network connection dropping,I do not have access to the internet. The issue started recently.,Network,LOW
Email synchronization issue,I am unable to send an email attachment. Please investigate this problem.,Email,LOW
General support request,I have an IT issue that does not fit into another category. This is affecting my work.,Other,MEDIUM
Monitor not displaying,Several keys on my keyboard have stopped working. Please investigate this problem.,Hardware,HIGH
Laptop overheating,The office printer is not printing my documents.,Hardware,MEDIUM
Cannot connect to office network,The Wi-Fi disconnects every few minutes.,Network,HIGH
Network timeout,The internet connection is extremely slow. This is affecting my work.,Network,LOW
Keyboard not working,My laptop does not turn on when I press the power button. This is affecting my work.,Hardware,MEDIUM
Laptop battery problem,My laptop does not turn on when I press the power button.,Hardware,MEDIUM
Application permission required,I receive an access denied error when opening the resource. Please investigate this problem.,Access,MEDIUM
Laptop overheating,My laptop is getting very hot during normal usage. The issue started recently.,Hardware,MEDIUM
Headset not working,The monitor is connected but nothing is displayed. Please investigate this problem.,Hardware,LOW
Malware warning,I think I may have received a phishing message. Please help me resolve this issue.,Security,HIGH
Application keeps crashing,Excel stops responding when I open a large spreadsheet. Please help me resolve this issue.,Software,MEDIUM
Mailbox full,New emails are not appearing in my inbox. The issue started recently.,Email,HIGH
Password expired,My login credentials are not being accepted. Please investigate this problem.,Account,MEDIUM
Suspicious email received,I received a security alert that I do not recognize. The issue started recently.,Security,MEDIUM
Emails delayed,Outlook does not open when I click on it. I need assistance as soon as possible.,Email,HIGH
Employee account problem,I need assistance resetting my account password. Please help me resolve this issue.,Account,LOW
New employee IT setup,I would like to request new computer equipment. Please help me resolve this issue.,Other,LOW
Username issue,My login credentials are not being accepted. Please investigate this problem.,Account,HIGH
New equipment request,I need to request replacement IT equipment. This is affecting my work.,Other,MEDIUM
Keyboard not working,My laptop battery is draining very quickly. The issue started recently.,Hardware,MEDIUM
Emails delayed,New emails are not appearing in my inbox. Please investigate this problem.,Email,MEDIUM
General support request,I need help with a technical problem. I need assistance as soon as possible.,Other,MEDIUM
Cannot access database,I receive an access denied error when opening the resource. I need assistance as soon as possible.,Access,MEDIUM
Mailbox full,My emails are not synchronizing correctly. Please help me resolve this issue.,Email,LOW
Network timeout,I cannot connect to the company server. This is affecting my work.,Network,LOW
Software update failed,I am unable to install the required software on my computer. Please investigate this problem.,Software,MEDIUM
Account locked,I need help recovering my company account.,Account,HIGH
New employee IT setup,Please provide technical support for my workstation. Please help me resolve this issue.,Other,MEDIUM
Slow internet,The Wi-Fi disconnects every few minutes. Please help me resolve this issue.,Network,LOW
Keyboard not working,My computer has become extremely slow recently. I need assistance as soon as possible.,Hardware,MEDIUM
Account recovery request,There appears to be a problem with my employee account. This is affecting my work.,Account,HIGH
Suspicious attachment,I think I may have received a phishing message. This is affecting my work.,Security,MEDIUM
Windows error,The application freezes whenever I try to use it. The issue started recently.,Software,LOW
Email synchronization issue,My mailbox is full and I cannot receive new messages.,Email,HIGH
Shared folder access denied,I cannot access the shared folder used by my team. I need assistance as soon as possible.,Access,MEDIUM
Emails delayed,Outlook does not open when I click on it. Please investigate this problem.,Email,LOW
Wi-Fi keeps disconnecting,Network requests are timing out repeatedly.,Network,HIGH
Login credentials not working,I cannot log into my company account. This is affecting my work.,Account,LOW
Headset not working,My computer has become extremely slow recently. This is affecting my work.,Hardware,HIGH
Cannot connect to office network,I do not have access to the internet. I need assistance as soon as possible.,Network,HIGH
Access denied error,The application says that I do not have permission to access it. I need assistance as soon as possible.,Access,HIGH
Permission request,I cannot access the shared folder used by my team. I need assistance as soon as possible.,Access,MEDIUM
Cannot access database,I am unable to access the company database. The issue started recently.,Access,HIGH
Email notifications not working,I am unable to send an email attachment.,Email,LOW
VPN connection failed,I am having a DNS resolution problem.,Network,HIGH
Laptop battery problem,My mouse is connected but is not responding. This is affecting my work.,Hardware,MEDIUM
Access to shared drive required,The application says that I do not have permission to access it. Please investigate this problem.,Access,LOW
DNS problem,I cannot connect to the company VPN from home. Please help me resolve this issue.,Network,HIGH
Network timeout,I do not have access to the internet.,Network,LOW
Access to shared drive required,The application says that I do not have permission to access it. Please investigate this problem.,Access,MEDIUM
Unable to authenticate,My account has been locked after several unsuccessful login attempts. This is affecting my work.,Account,LOW
Miscellaneous IT issue,I need general assistance with an IT-related issue. This is affecting my work.,Other,HIGH
Technical help needed,I need some information regarding an IT service. I need assistance as soon as possible.,Other,HIGH
Cannot login,I need help recovering my company account. I need assistance as soon as possible.,Account,HIGH
Shared folder access denied,I receive an access denied error when opening the resource. Please help me resolve this issue.,Access,HIGH
Windows error,The application crashes every time I try to open it. Please help me resolve this issue.,Software,LOW
Application keeps crashing,My web browser is not working correctly. I need assistance as soon as possible.,Software,HIGH
Software installation failed,The program refuses to open on my laptop. I need assistance as soon as possible.,Software,LOW
Printer not working,My laptop battery is draining very quickly. This is affecting my work.,Hardware,HIGH
Slow internet,The Wi-Fi disconnects every few minutes. Please help me resolve this issue.,Network,MEDIUM
Malware warning,I received a security alert that I do not recognize.,Security,CRITICAL
Unable to access application,I would like to request access to a company resource. Please investigate this problem.,Access,LOW
Suspicious email received,There may have been unauthorized access to my account. Please investigate this problem.,Security,CRITICAL
Program will not open,The application freezes whenever I try to use it. This is affecting my work.,Software,HIGH
Cannot access database,I would like to request access to a company resource. Please investigate this problem.,Access,LOW
General support request,I need help with a technical problem. The issue started recently.,Other,MEDIUM
Username issue,My login credentials are not being accepted. Please investigate this problem.,Account,MEDIUM
Malware warning,I received a suspicious email that appears to be a phishing attempt.,Security,HIGH
Software update failed,I am unable to install the required software on my computer.,Software,MEDIUM
Technical help needed,I need help with a technical problem. The issue started recently.,Other,MEDIUM
Cannot access database,I cannot open an important file because of permission restrictions. The issue started recently.,Access,LOW
New employee IT setup,I need some information regarding an IT service. The issue started recently.,Other,HIGH
Cannot send email,Outlook crashes whenever I try to launch it. Please help me resolve this issue.,Email,MEDIUM
Cannot send email,I am not receiving notifications for new emails. Please help me resolve this issue.,Email,MEDIUM
Laptop not turning on,My headset is not detected by my computer. Please investigate this problem.,Hardware,HIGH
Program will not open,The application displays an error whenever I perform an operation. I need assistance as soon as possible.,Software,MEDIUM
Shared folder access denied,I am unable to access the company database.,Access,MEDIUM
File permission issue,The application says that I do not have permission to access it. Please investigate this problem.,Access,MEDIUM
Application freezing,My web browser is not working correctly. Please investigate this problem.,Software,MEDIUM
Password expired,The system is unable to authenticate my account. Please investigate this problem.,Account,HIGH
Windows error,My web browser is not working correctly. The issue started recently.,Software,HIGH
Account recovery request,I cannot log into my company account. Please investigate this problem.,Account,LOW
Account recovery request,I cannot log into my company account. Please help me resolve this issue.,Account,MEDIUM
Forgot password,I forgot my company account password and need it reset. I need assistance as soon as possible.,Account,MEDIUM
Browser not working,The program refuses to open on my laptop. This is affecting my work.,Software,MEDIUM
Application freezing,My web browser is not working correctly.,Software,MEDIUM
Printer not working,My mouse is connected but is not responding. Please investigate this problem.,Hardware,HIGH
Forgot password,The system is unable to authenticate my account. The issue started recently.,Account,HIGH
Slow internet,I cannot connect to the company server. This is affecting my work.,Network,HIGH
Keyboard not working,My mouse is connected but is not responding. Please investigate this problem.,Hardware,LOW
Security incident,An unknown sender sent me a suspicious attachment. Please investigate this problem.,Security,HIGH
Equipment replacement request,I would like to request new computer equipment. The issue started recently.,Other,LOW
IT assistance required,I would like to request new computer equipment. Please help me resolve this issue.,Other,LOW
Suspicious email received,I think I may have received a phishing message. This is affecting my work.,Security,HIGH
Excel not responding,Windows is showing an unexpected error message. This is affecting my work.,Software,LOW
Computer setup request,I need to request replacement IT equipment. I need assistance as soon as possible.,Other,HIGH
General IT request,Please provide technical support for my workstation. Please investigate this problem.,Other,MEDIUM
Mouse not responding,The monitor is connected but nothing is displayed.,Hardware,MEDIUM
